DatabaseName	MetricType	MetricValue	PricePerMonth	RegionName	IsTierRecommended	ExclusionReasons	AppliedRules
StackOverflow2010	DTU_STANDARD_TIER	S0	15.03	defaultregion	True		
StackOverflow2010	DTU_PREMIUM_TIER	P1	462.40	defaultregion	False	This database is hosted on an HDD. It is more suited to the Standard/ General Purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	DbDriveType;S2OrLower
StackOverflow2010	VCORE_GENERAL_PURPOSE	GP_GEN4_1	230.14	defaultregion	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	S2OrLower
StackOverflow2010	VCORE_GENERAL_PURPOSE_GEN5	GP_GEN5_2	459.14	defaultregion	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	S2OrLower
StackOverflow2010	VCORE_BUSINESS_CRITICAL	BC_GEN4_1	594.99	defaultregion	False	This database is hosted on an HDD. It is more suited to the Standard/ General Purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	DbDriveType;S2OrLower
StackOverflow2010	VCORE_BUSINESS_CRITICAL_GEN5	BC_GEN5_2	1187.58	defaultregion	False	This database is hosted on an HDD. It is more suited to the Standard/ General Purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	DbDriveType;S2OrLower
toystore	DTU_STANDARD_TIER	S0	15.03	defaultregion	True		
toystore	DTU_PREMIUM_TIER	P1	462.40	defaultregion	False	This database is hosted on an HDD. It is more suited to the Standard/ General Purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	DbDriveType;S2OrLower
toystore	VCORE_GENERAL_PURPOSE	GP_GEN4_1	229.58	defaultregion	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	S2OrLower
toystore	VCORE_GENERAL_PURPOSE_GEN5	GP_GEN5_2	458.58	defaultregion	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	S2OrLower
toystore	VCORE_BUSINESS_CRITICAL	BC_GEN4_1	593.77	defaultregion	False	This database is hosted on an HDD. It is more suited to the Standard/ General Purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	DbDriveType;S2OrLower
toystore	VCORE_BUSINESS_CRITICAL_GEN5	BC_GEN5_2	1186.37	defaultregion	False	This database is hosted on an HDD. It is more suited to the Standard/ General Purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard tier.	DbDriveType;S2OrLower
